,R,G,B
0,172,157,76
1,29,202,224
2,3,208,253
3,3,208,253
4,29,202,224
5,172,157,76
6,17,191,245
7,4,210,249
8,4,210,249
9,172,157,76
10,3,208,253
11,19,205,234
12,3,208,253
13,29,202,224
14,172,157,76
15,18,189,244
16,14,207,239
17,18,189,244
18,19,205,234
19,18,189,244
20,18,189,244
21,19,205,234
22,3,208,253
23,3,208,253
24,29,202,224
25,172,157,76
26,17,191,245
27,4,210,249
28,1,210,254
29,1,210,254
30,1,210,254
31,1,210,254
32,3,208,253
33,11,198,248
34,3,208,253
35,4,210,249
36,17,191,245
37,17,191,245
38,172,157,76
39,29,202,224
40,3,208,253
41,19,205,234
42,18,189,244
43,18,189,244
44,18,189,244
45,14,207,239
46,18,189,244
47,14,207,239
48,18,189,244
49,62,137,218
50,62,137,218
51,14,207,239
52,18,189,244
53,18,189,244
54,14,207,239
55,18,189,244
56,18,189,244
57,14,207,239
58,18,189,244
59,18,189,244
60,19,205,234
61,3,208,253
62,19,205,234
63,3,208,253
64,172,157,76
65,172,157,76
66,17,191,245
67,4,210,249
68,1,210,254
69,1,210,254
70,11,198,248
71,11,198,248
72,15,194,246
73,14,207,239
74,14,207,239
75,15,194,246
76,15,194,246
77,11,198,248
78,1,210,254
79,1,210,254
80,4,210,249
81,17,191,245
82,17,191,245
83,172,157,76
84,29,202,224
85,29,202,224
86,3,208,253
87,19,205,234
88,18,189,244
89,14,207,239
90,18,189,244
91,18,189,244
92,14,207,239
93,18,189,244
94,62,137,218
95,18,189,244
96,62,137,218
97,170,12,155
98,170,12,155
99,24,204,229
100,19,205,234
101,24,204,229
102,170,12,155
103,24,204,229
104,24,204,229
105,62,137,218
106,24,204,229
107,170,12,155
108,62,137,218
109,24,204,229
110,24,204,229
111,170,12,155
112,18,189,244
113,62,137,218
114,18,189,244
115,14,207,239
116,14,207,239
117,18,189,244
118,19,205,234
119,18,189,244
120,19,205,234
121,3,208,253
122,29,202,224
123,29,202,224
124,17,191,245
125,17,191,245
126,4,210,249
127,1,210,254
128,3,208,253
129,3,208,253
130,15,194,246
131,14,207,239
132,0,212,255
133,11,198,248
134,1,210,254
135,17,191,245
136,29,202,224
137,19,205,234
138,18,189,244
139,62,137,218
140,170,12,155
141,24,204,229
142,19,205,234
143,19,205,234
144,19,205,234
145,19,205,234
146,19,205,234
147,24,204,229
148,62,137,218
149,18,189,244
150,18,189,244
151,19,205,234
152,172,157,76
153,4,210,249
154,3,208,253
155,15,194,246
